id,bad,w_pct_cnt_to_black,w_app_cnt_m1,w_app_time_minus_update_time,w_cpa_rt_days,w_cpc_cnt_week_cv,w_cpc_mthly_call_02_cnt,w_be_not_familiar,w_d_7_cnt,w_cnt_applied_over_cnt_all,w_most_familiar_applied,w_d_30_cnt,w_rpt_org_m3
6500,1,0.050593938,-0.114576736,-0.28968773,-0.019167012,-0.190036537,-0.156092085,-0.13947193,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
6537,1,-0.050609438,-0.248885013,-0.133867924,-0.019167012,-0.190036537,-0.156092085,0.070292526,-0.086194664,0.214857769,0.06111476,-0.408212008,-0.57493887
6532,0,0.050593938,0.033448676,-0.133867924,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,-0.21804462,0.162955769
6604,0,-0.390181396,0.033448676,0.02171007,-0.019167012,-0.190036537,-0.156092085,0.290523645,0.098940128,0.214857769,-0.103970127,-0.061875188,-0.081371326
6629,0,0.050593938,-0.114576736,-0.133867924,-0.09846067,-0.488645144,-0.156092085,0.290523645,0.098940128,0.108872828,0.06111476,-0.061875188,-0.081371326
6654,0,0.050593938,0.033448676,0.02171007,0.168365271,-0.190036537,0.133516041,0.070292526,0.098940128,0.108872828,0.06111476,0.082506884,-0.081371326
6664,0,0.050593938,-0.114576736,-0.28968773,-0.019167012,-0.488645144,-0.156092085,-0.186296131,-0.690002775,0.108872828,0.06111476,-0.408212008,-0.081371326
6593,1,0.050593938,0.301451979,-0.28968773,-0.019167012,-0.190036537,-0.156092085,0.070292526,-0.086194664,0.108872828,-0.103970127,0.082506884,0.162955769
6661,0,0.050593938,-0.114576736,-0.133867924,0.168365271,0.219471095,0.444287528,0.070292526,0.098940128,0.108872828,0.06111476,0.082506884,-0.081371326
6675,0,0.050593938,-0.114576736,-0.28968773,-0.019167012,-0.190036537,-0.156092085,-0.186296131,-0.086194664,0.108872828,0.06111476,-0.061875188,0.162955769
6713,1,0.050593938,0.301451979,0.132377357,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,-0.146480844,-0.103970127,-0.061875188,-0.081371326
